occupation_code_1970,occupation_label,major_group,subgroup
696,"Operatives, except transport -- allocated","Operatives, Except Transport",Textile operatives
701,Boatmen and canalmen,Transport Equipment Operative,
703,Busdrivers,Transport Equipment Operative,
704,"Conductors and motormen, urban rail transit",Transport Equipment Operative,
705,Deliverymen and routemen,Transport Equipment Operative,
706,Fork lift and tow motor operatives,Transport Equipment Operative,
710,"Motormen in mines, factories, logging camps, etc.",Transport Equipment Operative,
711,Parking attendants,Transport Equipment Operative,
712,Railroad brakemen,Transport Equipment Operative,
713,Railroad switchmen,Transport Equipment Operative,
714,Taxicab drivers and chauffeurs,Transport Equipment Operative,
715,Truck drivers,Transport Equipment Operative,
726,Transport equipment operatives -- allocated,Transport Equipment Operative,
740,"Animal caretakers, except farm","Laborers, Except Farm",
750,Carpenters' helpers,"Laborers, Except Farm",
751,"Construction laborers, except carpenters' helpers","Laborers, Except Farm",
752,Fishermen and oystermen,"Laborers, Except Farm",
753,Freight and material handlers,"Laborers, Except Farm",
754,Garbage collectors,"Laborers, Except Farm",
755,"Gardeners and groundskeepers, except farm","Laborers, Except Farm",
760,Longshoremen and stevedores,"Laborers, Except Farm",
761,"Lumbermen, raftsmen, and woodchoppers","Laborers, Except Farm",
762,Stockhandlers,"Laborers, Except Farm",
763,Teamsters,"Laborers, Except Farm",
764,Vehicle washers and equipment cleaners,"Laborers, Except Farm",
770,"Warehousemen, n.e.c.","Laborers, Except Farm",
780,Miscellaneous laborers,"Laborers, Except Farm",
785,"Laborers, n.s.","Laborers, Except Farm",
796,"Laborers, except farm -- allocated","Laborers, Except Farm",
801,Farmers (owners and tenants),Farmers and Farm Managers,
802,Farm managers,Farmers and Farm Managers,
806,Farmers and farm managers -- allocated,Farmers and Farm Managers,
821,Farm foremen,Farm Laborers and Farm Foremen,
822,"Farm laborers, wage workers",Farm Laborers and Farm Foremen,
823,"Farm laborers, unpaid family workers",Farm Laborers and Farm Foremen,
824,"Farm service laborers, self-employed",Farm Laborers and Farm Foremen,
846,Farm laborers and farm foremen -- allocated,Farm Laborers and Farm Foremen,
901,"Chambermaids and maids, except private household","Service Workers, Except Private Household",Cleaning service workers
902,Cleaners and charwomen,"Service Workers, Except Private Household",Cleaning service workers
903,Janitors and sextons,"Service Workers, Except Private Household",Cleaning service workers
910,Bartenders,"Service Workers, Except Private Household",Food service workers
911,Busboys,"Service Workers, Except Private Household",Food service workers
912,"Cooks, except private household","Service Workers, Except Private Household",Food service workers
913,Dishwashers,"Service Workers, Except Private Household",Food service workers
914,Food counter and fountain workers,"Service Workers, Except Private Household",Food service workers
915,Waiters,"Service Workers, Except Private Household",Food service workers
916,"Food service workers, n.e.c., except private household","Service Workers, Except Private Household",Food service workers
921,Dental assistants,"Service Workers, Except Private Household",Health service workers
922,"Health aides, except nursing","Service Workers, Except Private Household",Health service workers
923,Health trainees,"Service Workers, Except Private Household",Health service workers
